Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/P06/current/UCCM/,SDN:P06::UCCM,Cubic microns per cubic metre,um^3/m^3,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/UMLL/,SDN:P06::UMLL,Millilitres per litre,ml/l,Unavailable,1,false,2008-02-20 11:52:40.0
http://vocab.nerc.ac.uk/collection/P06/current/UCUM/,SDN:P06::UCUM,Cubic microns per millilitre,um^3/ml,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/UFNU/,SDN:P06::UFNU,Formazin Nephelometric Units,FNU,Standardised scale for nephelometric measurement of turbidity calibrated against formazine solutions of different concentration and measured using an 860 nm light (near IR) with a 90 degree detection angle (ISO7027 compliant).,1,false,2018-04-13 15:17:24.0
http://vocab.nerc.ac.uk/collection/P06/current/MBYT/,SDN:P06::MBYT,Megabytes,MByte,Unavailable,1,false,2005-09-01 12:39:15.0
http://vocab.nerc.ac.uk/collection/P06/current/UPPB/,SDN:P06::UPPB,Parts per billion,ppb,"Proportion of one part in 10^9 by weight, number, volume or amount (i.e. moles).",3,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,SDN:P06::UPPM,Parts per million,ppm,"Proportion of one part in 10^6 by weight, volume or amount (i.e. moles).  Milligrams/kilogram is a more explicit alternative for part per million by weight.",2,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/UCNT/,SDN:P06::UCNT,Counts,counts,"A proprietary unit for RDI ADCP instruments, which is proportional to decibels (dB) and used to measure echo intensity. Counts are converted to dB using a coefficient (Kc) for each ADCP instrument and each beam.",1,false,2016-08-04 09:13:28.0
http://vocab.nerc.ac.uk/collection/P06/current/PPTR/,SDN:P06::PPTR,Parts per trillion,pptr,"Proportion of one part in 10^12 by weight, volume or amount (i.e. moles or atoms). Nanograms per kilogram is a more explicit alternative for parts per trillion by weight.",2,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/UPPE/,SDN:P06::UPPE,Parts per ten thousand,pptt,"Proportion of one part in 10^4 by weight, number, volume or amount (i.e. moles).",2,false,2022-12-02 16:16:59.0
